universityId,universityGroupId,name,campusName,emblem,status,fileExists
"daegu-national-university-of-education-본교","daegu-national-university-of-education-본교","대구교육대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"daegu-catholic-university-본교","daegu-catholic-university-본교","대구가톨릭대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"dankook-university-제2캠퍼","dankook-university-제2캠퍼","단국대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"namseoul-university-본교","namseoul-university-본교","남서울대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"nambu-university-본교","nambu-university-본교","남부대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"korea-nazarene-university-본교","korea-nazarene-university-본교","나사렛대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gimcheon-university-본교","gimcheon-university-본교","김천대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"geumgang-university-본교","geumgang-university-본교","금강대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"far-east-university-본교","far-east-university-본교","극동대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"hanbat-national-university-본교","hanbat-national-university-본교","국립한밭대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"korea-national-university-of-transportation-본교","korea-national-university-of-transportation-본교","국립한국교통대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"changwon-national-university-제3캠퍼","changwon-national-university-제3캠퍼","국립창원대학교(남해캠퍼스) 제3캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"changwon-national-university-제2캠퍼","changwon-national-university-제2캠퍼","국립창원대학교(거창캠퍼스) 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"changwon-national-university-본교","changwon-national-university-본교","국립창원대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sunchon-national-university-본교","sunchon-national-university-본교","국립순천대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"mokpo-national-maritime-university-본교","mokpo-national-maritime-university-본교","국립목포해양대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"busan-university-of-foreign-studies-본교","busan-university-of-foreign-studies-본교","부산외국어대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"catholic-university-of-pusan-본교","catholic-university-of-pusan-본교","부산가톨릭대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"baekseok-university-본교","baekseok-university-본교","백석대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"pai-chai-university-본교","pai-chai-university-본교","배재대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"mokpo-catholic-university-본교","mokpo-catholic-university-본교","목포가톨릭대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"mokwon-university-본교","mokwon-university-본교","목원대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"myongji-university-social-science-campus-제2캠퍼","myongji-university-social-science-campus-제2캠퍼","명지대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"myongji-university-natural-science-campus-본교","myongji-university-natural-science-campus-본교","명지대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"luther-university-본교","luther-university-본교","루터대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"dong-eui-university-본교","dong-eui-university-본교","동의대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"dongyang-university-본교","dongyang-university-본교","동양대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"dongshinuniversity-본교","dongshinuniversity-본교","동신대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"dongseo-university-본교","dongseo-university-본교","동서대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"tongmyong-university-본교","tongmyong-university-본교","동명대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"dongduk-womens-university-본교","dongduk-womens-university-본교","동덕여자대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"dongguk-university-분교","dongguk-university-분교","동국대학교(WISE) 분교","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"duksung-womens-university-본교","duksung-womens-university-본교","덕성여자대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"daejin-university-본교","daejin-university-본교","대진대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"daejeon-theological-university-본교","daejeon-theological-university-본교","대전신학대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"daejeon-university-본교","daejeon-university-본교","대전대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"daejeoncatholicuniversity-본교","daejeoncatholicuniversity-본교","대전가톨릭대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"daeshin-university-본교","daeshin-university-본교","대신대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"daegu-haany-university-본교","daegu-haany-university-본교","대구한의대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"semyung-university-본교","semyung-university-본교","세명대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sungshin-womens-university-본교","sungshin-womens-university-본교","성신여자대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sungkonghoe-university-본교","sungkonghoe-university-본교","성공회대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sungkyul-university-본교","sungkyul-university-본교","성결대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"sun-moon-university-본교","sun-moon-university-본교","선문대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"seowon-university-본교","seowon-university-본교","서원대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"seoul-hanyoung-university-본교","seoul-hanyoung-university-본교","서울한영대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"seoul-jangsin-university-본교","seoul-jangsin-university-본교","서울장신대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"seoul-womens-university-본교","seoul-womens-university-본교","서울여자대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"seoul-theological-university-본교","seoul-theological-university-본교","서울신학대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"seoul-christian-university-본교","seoul-christian-university-본교","서울기독대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"seoul-national-university-of-science-and-technology-본교","seoul-national-university-of-science-and-technology-본교","서울과학기술대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
